BANDPICKUP_SEED 0 count 129
BANDPICKUP BandPickup_b4_potion_rue_trail -150.0 7.6687093 5640.0
BANDPICKUP BandPickup_b4_potion_seam_south -20.0 -0.2259432 6985.0
BANDPICKUP BandPickup_b4_revive_before_stockcamp 240.0 5.449647 5620.0
BANDPICKUP BandPickup_b4_revive_grove_pad -322.0 -0.3442574 5083.0
BANDPICKUP BandPickup_b4_revive_ridge_climb -190.0 1.3865767 6425.0
BANDPICKUP BandPickup_b5_candy_alpha_galecrest_pack -50.5 -1.2748777 7268.0
BANDPICKUP BandPickup_b5_candy_doorstep_alpha -48.0 -1.2646292 7495.5
BANDPICKUP BandPickup_b5_candy_east_flock_roost 185.0 -4.304131 7235.0
BANDPICKUP BandPickup_b5_candy_outer_watch_flank -110.330124 0.7915142 7179.2
BANDPICKUP BandPickup_b5_candy_road_watch_drop -5.0 2.0924973 7275.0
BANDPICKUP BandPickup_b5_candy_scorched_pocket_heart 150.0 3.4933124 7325.0
BANDPICKUP BandPickup_b5_candy_scorched_pocket_lip 135.0 4.3091607 7365.0
BANDPICKUP BandPickup_b5_candy_seam_west_shoulder -110.0 2.684011 7050.0
BANDPICKUP BandPickup_b5_candy_sigil_gate_wing 116.73205 2.8678396 7391.0
BANDPICKUP BandPickup_b5_candy_waystop_dell -70.0 2.6655953 7420.0
BANDPICKUP BandPickup_b5_candy_west_drained_shoulder -140.0 -4.91557 7300.0
BANDPICKUP BandPickup_b5_mushroom_wild_scorched 160.0 1.6422179 7355.0
BANDPICKUP BandPickup_b5_potion_before_checkpoint 103.0 1.0955306 7396.732
BANDPICKUP BandPickup_b5_potion_outer_watch_mouth -108.0 2.7225583 7118.0
BANDPICKUP BandPickup_b5_revive_before_alpha_pack -70.0 1.0993719 7230.0
