# Cloudreach frame matrix -- tools/capture_cloudreach_frame_matrix.gd (production CameraRig; fixture in the tool header)
# name | row | trainer feet | yaw/pitch deg | target | hour | stand (candidate) | camera | trainer on screen | companion | flags
MANIFEST 01_gate_lower_cliffs_approach_day | approach | trainer (-8.0, 105.55, -248.0) | yaw 169.8 pitch -12.0 | target (-24.0, 130.00, -159.0) | hour 10.00 | stand (-8.0, 105.00, -248.0) (1/2) | camera (-7.1, 108.38, -253.0) | trainer on screen (50%, 60%) | companion placed (-10.1, 105.75, -246.7) | flags boot | Arrival from the Meadows gate (transition point 0,105,-260) toward Realm Gate Crag; stand from capture_cloudreach_realm_gate_crag.gd `arrival`.
MANIFEST 15_high_roost_sky_shrine_approach_day | approach | trainer (373.0, 610.03, 3262.5) | yaw -66.4 pitch 0.0 | target (1110.0, 1058.00, 2940.0) | hour 10.00 | stand (373.0, 610.00, 3262.5) (1/2) | camera (368.2, 611.78, 3264.6) | trainer on screen (50%, 60%) | companion placed (375.2, 610.08, 3263.5) | flags boot | Windscar aerie road vertex (windscar_floor_loop) looking up at the Fly-only Sky Shrine cliff; fallback is production-integration `04-high-roost-before-fly`.
MANIFEST 16_high_roost_sky_shrine_route_day | route | trainer (906.0, 1020.13, 2706.0) | yaw -138.9 pitch -12.0 | target (1110.0, 1058.00, 2940.0) | hour 10.00 | stand (906.0, 1020.00, 2706.0) (1/3) | camera (902.7, 1022.96, 2702.2) | trainer on screen (50%, 60%) | companion placed (905.7, 1020.18, 2708.4) | flags boot | The Fly route's next hop as a landed player sees it: High Perches landing pad toward the Sky Shrine.
MANIFEST 17_high_roost_sky_shrine_reverse_day | reverse | trainer (1087.0, 1020.03, 2896.0) | yaw 117.3 pitch -12.0 | target (400.0, 615.00, 3250.0) | hour 10.00 | stand (1087.0, 1050.00, 2896.0) (1/2) | camera (1091.5, 1022.86, 2893.7) | trainer on screen (50%, 60%) | companion placed (1084.8, 1020.08, 2895.1) | flags boot | Sky Shrine crown edge looking back down the windscar_to_high_roost_flight line to the aerie; stands from capture_cloudreach_sky_shrine.gd.
MANIFEST 18_high_roost_sky_shrine_detail-shrine_day | detail-shrine | trainer (1110.0, 1020.03, 2885.0) | yaw -180.0 pitch 7.2 | target (1110.0, 1062.00, 2940.0) | hour 10.00 | stand (1110.0, 1050.00, 2885.0) (1/2) | camera (1110.0, 1021.13, 2879.8) | trainer on screen (50%, 60%) | companion placed (1108.2, 1020.08, 2886.6) | flags boot | Sky Shrine heartstone, pillars and lintel close; capture_cloudreach_sky_shrine.gd `south-overview`.
MANIFEST 19_high_roost_sky_shrine_perch-landing_day | perch-landing | trainer (900.0, 1020.13, 2689.0) | yaw -180.0 pitch 0.1 | target (900.0, 1028.00, 2700.0) | hour 10.00 | stand (900.0, 1020.00, 2689.0) (1/2) | camera (900.0, 1021.87, 2683.8) | trainer on screen (50%, 60%) | companion placed (898.2, 1020.18, 2690.6) | flags boot | High perch, correct camera: trainer on the High Perches landing (south Fly arrival, capture_cloudreach_high_perches.gd) with the rig behind at normal distance, toward the needles.
MANIFEST 20_high_roost_sky_shrine_perch-vista_day | perch-vista | trainer (895.0, 1020.13, 2706.0) | yaw 135.7 pitch -12.0 | target (-340.0, 830.00, 3970.0) | hour 10.00 | stand (895.0, 1020.00, 2706.0) (1/2) | camera (898.6, 1022.96, 2702.4) | trainer on screen (50%, 60%) | companion placed (892.6, 1020.18, 2705.9) | flags boot | High perch, correct camera, looking out over the drop at stacked cliff silhouettes toward Upper Cloudreach / Cliffhold.
MANIFEST 21_upper_cloudreach_approach_day | approach | trainer (-545.1, 744.21, 3797.2) | yaw -130.1 pitch -9.7 | target (-340.0, 840.00, 3970.0) | hour 10.00 | stand (-545.1, 744.00, 3797.2) (1/2) | camera (-549.0, 746.83, 3793.9) | trainer on screen (50%, 60%) | companion placed (-545.0, 744.54, 3799.6) | flags boot | windscar_counterweight_pass last climb (t=0.55) toward Cliffhold.
MANIFEST 22_upper_cloudreach_route_day | route | trainer (95.2, 909.01, 4622.9) | yaw -69.8 pitch -12.0 | target (430.0, 925.00, 4500.0) | hour 10.00 | stand (95.2, 909.00, 4622.9) (1/2) | camera (90.4, 911.84, 4624.7) | trainer on screen (50%, 60%) | companion placed (97.3, 909.11, 4624.0) | flags boot | upper_plateau_circuit (t=0.45) across the broad plateau toward the Old Wind Observatory.
MANIFEST 23_upper_cloudreach_reverse_day | reverse | trainer (95.2, 909.01, 4622.9) | yaw 109.4 pitch -12.0 | target (-180.0, 901.50, 4720.0) | hour 10.00 | stand (95.2, 909.00, 4622.9) (1/2) | camera (100.0, 911.84, 4621.2) | trainer on screen (50%, 60%) | companion placed (93.1, 909.01, 4621.7) | flags boot | Same stand, looking back west along the circuit.
MANIFEST 24_upper_cloudreach_detail-observatory_day | detail-observatory | trainer (430.0, 920.00, 4484.0) | yaw -180.0 pitch 3.6 | target (430.0, 932.00, 4500.0) | hour 10.00 | stand (430.0, 920.00, 4484.0) (1/3) | camera (430.0, 921.42, 4478.8) | trainer on screen (50%, 60%) | companion placed (428.2, 920.05, 4485.6) | flags boot | Old Wind Observatory dial court close; ObservatoryWalkableCrown stands from capture_cloudreach_old_wind_observatory.gd.
MANIFEST 25_upper_cloudreach_settlement-cliffhold_day | settlement-cliffhold | trainer (-309.2, 832.94, 3991.2) | yaw 55.5 pitch -12.0 | target (-340.0, 838.00, 3970.0) | hour 10.00 | stand (-309.2, 830.00, 3991.2) (1/2) | camera (-305.0, 835.77, 3994.1) | trainer on screen (50%, 60%) | companion placed (-309.5, 832.80, 3988.8) | flags boot | Key settlement Cliffhold from its east arrival; production-integration `08-upper-cliffhold-east-arrival` / `12-cliffhold-ground-connection`.
MANIFEST 26_summit_final_stronghold_approach_day | approach | trainer (339.2, 917.18, 4534.9) | yaw 163.6 pitch -11.3 | target (100.0, 1190.00, 5350.0) | hour 10.00 | stand (339.2, 917.00, 4534.9) (1/2) | camera (340.6, 919.95, 4530.0) | trainer on screen (50%, 60%) | companion placed (337.0, 917.15, 4535.9) | flags boot | upper_plateau_circuit near the observatory (t=0.85), ~850 m from the domed aviary on the summit.
MANIFEST 27_summit_final_stronghold_route_day | route | trainer (483.1, 940.04, 4765.6) | yaw -160.5 pitch -9.3 | target (520.0, 981.50, 4870.0) | hour 10.00 | stand (483.1, 940.00, 4765.6) (1/2) | camera (481.4, 942.63, 4760.8) | trainer on screen (50%, 60%) | companion placed (481.9, 940.69, 4767.7) | flags boot | upper_summit_road climb (segment 2 midpoint) looking up the road.
MANIFEST 28_summit_final_stronghold_reverse_day | reverse | trainer (483.1, 940.04, 4765.6) | yaw 17.4 pitch -12.0 | target (450.0, 901.50, 4660.0) | hour 10.00 | stand (483.1, 940.00, 4765.6) (1/2) | camera (484.6, 942.88, 4770.5) | trainer on screen (50%, 60%) | companion placed (484.3, 939.47, 4763.5) | flags boot | Same stand, looking back down over Upper Cloudreach.
MANIFEST 29_summit_final_stronghold_detail-aviary_day | detail-aviary | trainer (100.0, 1160.15, 5395.0) | yaw -0.0 pitch 3.0 | target (100.0, 1190.00, 5350.0) | hour 10.00 | stand (100.0, 1160.15, 5395.0) (1/3) | camera (100.0, 1161.63, 5400.2) | trainer on screen (50%, 60%) | companion placed (101.8, 1160.20, 5393.4) | flags boot | Aviary drum, arches and lattice dome from the collision-bearing SummitArenaApproach (cloudreach_summit_presentation.gd).
MANIFEST 30_gate_lower_cliffs_approach_night | approach | trainer (-8.0, 105.55, -248.0) | yaw 169.8 pitch -12.0 | target (-24.0, 130.00, -159.0) | hour 23.00 | stand (-8.0, 105.00, -248.0) (1/2) | camera (-7.1, 108.38, -253.0) | trainer on screen (50%, 60%) | companion placed (-10.1, 105.75, -246.7) | flags boot | Night arrival route cue: row 01 at 23:00.
MANIFEST 31_broken_causeways_route_night | route | trainer (-365.9, 363.48, 1451.4) | yaw -135.7 pitch -12.0 | target (-260.0, 391.50, 1560.0) | hour 23.00 | stand (-365.9, 363.60, 1451.4) (1/2) | camera (-369.5, 366.31, 1447.8) | trainer on screen (50%, 60%) | companion placed (-366.1, 364.57, 1453.8) | flags boot | Night causeway route cue: row 07 at 23:00.
MANIFEST 32_upper_cloudreach_approach_night | approach | trainer (-545.1, 744.21, 3797.2) | yaw -130.1 pitch -9.7 | target (-340.0, 840.00, 3970.0) | hour 23.00 | stand (-545.1, 744.00, 3797.2) (1/2) | camera (-549.0, 746.83, 3793.9) | trainer on screen (50%, 60%) | companion placed (-545.0, 744.54, 3799.6) | flags boot | Night Cliffhold approach: row 21 at 23:00.
MANIFEST 33_summit_final_stronghold_finale400_day | finale400 | trainer (353.9, 1056.36, 5040.8) | yaw 140.6 pitch -10.8 | target (100.0, 1190.00, 5350.0) | hour 10.00 | stand (353.9, 1054.90, 5040.8) (1/2) | camera (357.1, 1059.08, 5036.9) | trainer on screen (50%, 60%) | companion placed (351.5, 1056.96, 5040.9) | flags pre_finale | upper_summit_road segment 3, 400 m (straight line) from the aviary at (100,1160,5350), Officer Voss's approach.
SEAT-FAIL 34_summit_final_stronghold_finale100_day candidate 1/3 at (162.5, 1135.00, 5271.9): stand ground 1135.8 lies 24.2 m under a drawn surface (y 1160.0)
MANIFEST 34_summit_final_stronghold_finale100_day | finale100 | trainer (192.7, 1170.63, 5387.5) | yaw 68.0 pitch -12.0 | target (100.0, 1190.00, 5350.0) | hour 10.00 | stand (192.7, 1171.00, 5387.5) (2/3) | camera (197.4, 1173.46, 5389.4) | trainer on screen (50%, 60%) | companion placed (191.9, 1170.50, 5385.2) | flags pre_finale | 100 m from the aviary: first the final road (under the drawn summit crown on main -- rejected there by the drawn-surface check), then summit_overlook_loop at 100 m, then the arena deck (90 m).
MANIFEST 35_summit_final_stronghold_postfinale_day | postfinale | trainer (192.7, 1170.63, 5387.5) | yaw 68.0 pitch -12.0 | target (100.0, 1190.00, 5350.0) | hour 10.00 | stand (192.7, 1171.00, 5387.5) (1/3) | camera (197.4, 1173.46, 5389.4) | trainer on screen (50%, 60%) | companion placed (191.9, 1170.50, 5385.2) | flags post_finale | Post-finale change at the row-34 stand: cloudreach_winds_restored (anchors freed, relays off, drone gone).
MANIFEST 36_gate_lower_cliffs_postfinale-galefoot_day | postfinale-galefoot | trainer (-286.0, 180.00, 535.0) | yaw -30.5 pitch -12.0 | target (-276.0, 186.00, 518.0) | hour 10.00 | stand (-286.0, 180.00, 535.0) (1/2) | camera (-288.6, 182.83, 539.4) | trainer on screen (50%, 60%) | companion placed (-283.6, 180.05, 534.5) | flags post_finale | Post-finale Galefoot: returning travelers (Aila, Neri, Orrin) against row 05.
# frame matrix: 36 frames written, 0 rows skipped
